               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10418,            0.042884,                   0,              0.1165,             0.27846,            0.078828,            0.023725,            0.079815,            0.037601,                   0,            0.070143,           0.0033175,           0.0033175
                   1,            0.074894,            0.033079,                   0,             0.53499,             0.50549,              0.5022,             0.18755,            0.060492,            0.031153,                   0,            0.039484,           0.0059924,           0.0059924
                   2,            0.069149,            0.028943,                   0,             0.62186,             0.47668,             0.53992,             0.20859,             0.06115,            0.027475,                   0,            0.008166,           0.0080073,           0.0080073
                   3,            0.062359,            0.028025,                   0,             0.70594,             0.64163,             0.70084,             0.27595,            0.048818,            0.026242,                   0,             0.00703,             0.00703,             0.00703
                   4,            0.054956,            0.026689,                   0,             0.66105,             0.69826,             0.72377,             0.34668,            0.046142,            0.024135,                   0,             0.00703,             0.00703,             0.00703
                   5,            0.048769,            0.025204,                   0,             0.86886,             0.75206,             0.85632,             0.43613,            0.041722,            0.023651,                   0,             0.00604,             0.00604,             0.00604
                   6,            0.045305,            0.024259,                   0,             0.86519,             0.79671,             0.87187,             0.44525,            0.036869,            0.022583,                   0,             0.00505,             0.00505,             0.00505
                   7,            0.041235,            0.023604,                   0,             0.88683,             0.79835,             0.89086,             0.48891,            0.036068,            0.021889,                   0,             0.00406,             0.00406,             0.00406
                   8,            0.039127,            0.023018,                   0,             0.90203,              0.8179,             0.90543,             0.51338,            0.033123,            0.021394,                   0,             0.00307,             0.00307,             0.00307
                   9,            0.036783,             0.02223,                   0,              0.8897,             0.83535,             0.91175,             0.53642,            0.031167,            0.020883,                   0,             0.00208,             0.00208,             0.00208
